True,Value
2008,Australia,"Agriculture, forestry, fishing",6989.0
2008,Australia,Irrigation,6285.0
2008,Austria,Manufacturing industry,1657.0
2008,Austria,Public water supply,608.0
2008,Belgium,"Agriculture, forestry, fishing",39.062529999999995
2008,Belgium,Gross abstractions as percentage of internal resources,49.77724
2008,Belgium,Gross abstractions as percentage of total renewable resources,30.78332
2008,Belgium,Gross abstractions per capita,569.2496
2008,Belgium,Manufacturing industry,1217.57798
2008,Belgium,Public water supply,706.3
2008,Belgium,Total gross abstraction,6136.04
2008,Brazil,"Agriculture, forestry, fishing",38268.0
2008,Brazil,Gross abstractions as percentage of total renewable resources,0.78888
2008,Brazil,Gross abstractions per capita,344.4416
2008,Brazil,Manufacturing industry,11296.0
2008,Brazil,Total gross abstraction,66470.0
2008,Chile,Public water supply,1496.42
2008,China (People's Republic of),Gross abstractions as percentage of total renewable resources,20.54999
2008,China (People's Republic of),Gross abstractions per capita,437.4541
2008,China (People's Republic of),Total gross abstraction,588120.0
2008,Colombia,"Agriculture, forestry, fishing",21606.0
2008,Colombia,Aquaculture,2584.0
2008,Colombia,Gross abstractions as percentage of internal resources,1.58397
2008,Colombia,Gross abstractions per capita,799.0148
2008,Colombia,Irrigation,19349.0
2008,Colombia,Manufacturing industry,1577.0
2008,Colombia,Public water supply,3134.0
2008,Colombia,Total gross abstraction,35877.0
2008,Costa Rica,"Agriculture, forestry, fishing",125.0241
2008,Costa Rica,Gross abstractions as percentage of internal resources,0.34324
2008,Costa Rica,Gross abstractions as percentage of total renewable resources,0.34324
2008,Costa Rica,Gross abstractions per capita,86.80429000000001
2008,Costa Rica,Irrigation,111.9814
2008,Costa Rica,Manufacturing industry,4.8064
2008,Costa Rica,Public water supply,248.44839
2008,Costa Rica,Total gross abstraction,384.46554
2008,Czech Republic,"Agriculture, forestry, fishing",33.0
2008,Czech Republic,Gross abstractions as percentage of internal resources,13.047189999999999
2008,Czech Republic,Gross abstractions as percentage of total renewable resources,12.44289
2008,Czech Republic,Gross abstractions per capita,190.7175
2008,Czech Republic,Irrigation,16.0
2008,Czech Republic,Manufacturing industry,249.0
2008,Czech Republic,Public water supply,682.0
2008,Czech Republic,Total gross abstraction,1988.0
2008,Denmark,"Agriculture, forestry, fishing",249.40001
2008,Denmark,Gross abstractions as percentage of internal resources,4.24541
2008,Denmark,Gross abstractions as percentage of total renewable resources,4.24541
2008,Denmark,Gross abstractions per capita,126.1779
2008,Denmark,Irrigation,198.47
2008,Denmark,Manufacturing industry,35.93
2008,Denmark,Public water supply,406.14001
2008,Denmark,Total gross abstraction,693.7000099999999
