True,Value
2008,Austria,Manufacturing industry,1260.0
2008,Austria,Public water supply,1.0
2008,Belgium,"Agriculture, forestry, fishing",3.3232699999999995
2008,Belgium,Manufacturing industry,1145.58313
2008,Belgium,Public water supply,253.09
2008,Belgium,Total gross abstraction,5516.9
2008,Chile,Public water supply,899.84
2008,China (People's Republic of),Total gross abstraction,479640.0
2008,Costa Rica,"Agriculture, forestry, fishing",107.9238
2008,Costa Rica,Irrigation,97.5669
2008,Costa Rica,Manufacturing industry,1.9383
2008,Costa Rica,Public water supply,225.16
2008,Costa Rica,Total gross abstraction,337.20181
2008,Czech Republic,"Agriculture, forestry, fishing",22.0
2008,Czech Republic,Irrigation,16.0
2008,Czech Republic,Manufacturing industry,221.0
2008,Czech Republic,Public water supply,362.0
2008,Czech Republic,Total gross abstraction,1608.0
2008,Denmark,"Agriculture, forestry, fishing",5.1
2008,Denmark,Irrigation,0.6
2008,Denmark,Manufacturing industry,2.71
2008,Denmark,Total gross abstraction,7.81
2008,England and Wales,"Agriculture, forestry, fishing",946.0
2008,England and Wales,Aquaculture,910.0
2008,England and Wales,Irrigation,32.0
2008,England and Wales,Manufacturing industry,887.0
2008,England and Wales,Public water supply,4210.0
2008,England and Wales,Total gross abstraction,6208.0
2008,Estonia,Public water supply,29.42
2008,Estonia,Total gross abstraction,1275.68005
2008,France,"Agriculture, forestry, fishing",1637.7694099999999
2008,France,Manufacturing industry,1246.00802
2008,France,Public water supply,1788.94678
2008,France,Total gross abstraction,23379.364559999998
2008,Hungary,"Agriculture, forestry, fishing",293.0
2008,Hungary,Irrigation,110.0
2008,Hungary,Manufacturing industry,39.5
2008,Hungary,Public water supply,280.0
2008,Hungary,Total gross abstraction,4926.0
2008,Ireland,Total gross abstraction,561.0
2008,Israel,"Agriculture, forestry, fishing",37.52
2008,Israel,Irrigation,37.52
2008,Israel,Manufacturing industry,0.26
2008,Israel,Public water supply,596.22
2008,Israel,Total gross abstraction,634.0
2008,Italy,Public water supply,1301.4
2008,Japan,"Agriculture, forestry, fishing",51774.0
2008,Japan,Manufacturing industry,8811.0
2008,Japan,Public water supply,12145.0
2008,Japan,Total gross abstraction,72731.0
2008,Korea,"Agriculture, forestry, fishing",10502.0
2008,Korea,Irrigation,10194.0
2008,Korea,Manufacturing industry,2080.0
2008,Korea,Public water supply,5697.0
2008,Korea,Total gross abstraction,18279.0
2008,Latvia,"Agriculture, forestry, fishing",32.47661
2008,Latvia,Aquaculture,32.4
2008,Latvia,Manufacturing industry,12.84401
2008,Latvia,Public water supply,37.015
2008,Latvia,Total gross abstraction,96.575
2008,Lithuania,"Agriculture, forestry, fishing",76.544
2008,Lithuania,Irrigation,0.384
2008,Lithuania,Manufacturing industry,25.7358
2008,Lithuania,Public water supply,0.585
2008,Lithuania,Total gross abstraction,2104.302
2008,Mexico,"Agriculture, forestry, fishing",40734.078519999995
